epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,382.04,1.88495,2.66342,0.01007,0.67278,0.55395,0.58969,0.30854,1.67841,1.22048,0.00972,0.00998647,0.00332882,0.00998647,0.00332882,0.00998647,0.00332882,0.00998647,0.00332882
2,751.147,1.71646,1.38542,0.00891,0.68152,0.56756,0.60208,0.29553,1.74327,1.21683,0.01016,0.0199667,0.00665556,0.0199667,0.00665556,0.0199667,0.00665556,0.0199667,0.00665556
3,1114.12,1.76859,1.40987,0.00915,0.63738,0.5072,0.54076,0.27051,1.83325,1.40586,0.01092,0.0299271,0.0099757,0.0299271,0.0099757,0.0299271,0.0099757,0.0299271,0.0099757
4,1471.88,1.80469,1.44767,0.00944,0.65486,0.57923,0.59197,0.30711,1.75361,1.22638,0.01018,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,1832.39,1.71107,1.32759,0.00884,0.67676,0.59777,0.61785,0.3306,1.69122,1.22275,0.0098,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,2189.1,1.66735,1.21881,0.00847,0.73195,0.6257,0.67425,0.37692,1.59651,1.00141,0.00908,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,2543.13,1.63229,1.17984,0.00838,0.72653,0.65434,0.69786,0.39518,1.56387,0.95888,0.00886,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,2899.79,1.59478,1.14149,0.00807,0.74845,0.63949,0.68181,0.39276,1.5712,0.94446,0.00879,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,3253.31,1.57624,1.1155,0.00789,0.76394,0.68156,0.72873,0.42623,1.48844,0.90687,0.00825,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,3608.13,1.56113,1.08178,0.00776,0.78092,0.68587,0.74457,0.44047,1.45185,0.87318,0.008,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,3962.82,1.54782,1.06364,0.00766,0.81207,0.68618,0.75807,0.4521,1.43301,0.84251,0.0079,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,4317.84,1.53995,1.0394,0.00765,0.82314,0.69546,0.77216,0.46687,1.40959,0.82484,0.00772,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
