epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,207.511,2.035,3.70281,0.01407,0.59314,0.44454,0.47112,0.19722,1.95315,1.50126,0.01142,0.00994595,0.00331532,0.00994595,0.00331532,0.00994595,0.00331532,0.00994595,0.00331532
2,407.817,1.76698,1.75141,0.0117,0.6212,0.4788,0.51269,0.22666,1.82421,1.43086,0.01064,0.0199262,0.00664207,0.0199262,0.00664207,0.0199262,0.00664207,0.0199262,0.00664207
3,604.141,1.72834,1.64796,0.01137,0.55864,0.35676,0.35529,0.15458,1.98972,2.00244,0.01195,0.0298867,0.00996222,0.0298867,0.00996222,0.0298867,0.00996222,0.0298867,0.00996222
4,797.384,1.74804,1.64249,0.01135,0.64802,0.51539,0.5453,0.24865,1.8714,1.31443,0.01108,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,992.992,1.69196,1.54425,0.01111,0.64397,0.50361,0.53053,0.24836,1.8485,1.49289,0.0109,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,1184.76,1.67956,1.45018,0.01067,0.69542,0.53974,0.59025,0.28267,1.8257,1.22054,0.01074,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,1375.82,1.65452,1.4194,0.01075,0.67232,0.53387,0.58679,0.28396,1.79327,1.22978,0.01038,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,1566.84,1.61636,1.38496,0.01049,0.67217,0.5049,0.55009,0.27592,1.82022,1.55784,0.01077,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,1757.44,1.61953,1.36978,0.0104,0.68536,0.54531,0.58278,0.27702,1.9072,1.29827,0.01115,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,1949.27,1.60821,1.33605,0.01029,0.70694,0.54868,0.6032,0.29143,1.80111,1.25201,0.01045,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,2139.59,1.59979,1.30897,0.01023,0.71111,0.54225,0.59837,0.30209,1.75271,1.25065,0.01017,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,2331.31,1.57894,1.29781,0.01011,0.73314,0.57296,0.63383,0.31428,1.73182,1.12889,0.00994,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,2521.52,1.57074,1.28034,0.0101,0.72837,0.57623,0.62638,0.31562,1.75959,1.12975,0.01014,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,2712.52,1.56089,1.27329,0.00997,0.70122,0.57446,0.62397,0.3135,1.75753,1.12711,0.01005,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,2903.06,1.56618,1.26653,0.00996,0.72605,0.58842,0.63242,0.3177,1.72555,1.11721,0.00993,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,3093.37,1.55469,1.24594,0.01005,0.74343,0.60052,0.65879,0.34039,1.707,1.04995,0.00961,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,3284.44,1.55924,1.24645,0.00984,0.74209,0.57928,0.63368,0.31687,1.7448,1.18585,0.01002,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,3475.26,1.54993,1.23265,0.00978,0.7095,0.58278,0.63507,0.32109,1.73359,1.0989,0.00993,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,3666.06,1.54054,1.22162,0.00987,0.72193,0.57748,0.63561,0.31285,1.83038,1.23761,0.01045,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,3855.58,1.54806,1.2236,0.00958,0.75513,0.5961,0.65682,0.33645,1.75566,1.22142,0.01008,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,4046.06,1.53171,1.20012,0.00987,0.75236,0.65594,0.70359,0.36942,1.67039,0.97923,0.00945,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,4236.85,1.51459,1.2097,0.00975,0.74772,0.55458,0.63029,0.32689,1.75496,1.26185,0.01008,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,4427.02,1.53176,1.18982,0.00967,0.77274,0.586,0.65995,0.33722,1.72714,1.12467,0.00981,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,4617.16,1.52224,1.19293,0.00962,0.76665,0.62151,0.68799,0.36812,1.64139,1.00911,0.00916,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,4808.39,1.51581,1.17745,0.00961,0.77573,0.62423,0.69459,0.36149,1.67419,1.08697,0.00943,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,4998.61,1.5125,1.17603,0.00968,0.77684,0.64044,0.70849,0.37192,1.67461,0.97654,0.00944,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,5188.87,1.52444,1.17932,0.0095,0.7701,0.64769,0.71064,0.38273,1.60131,0.98647,0.009,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,5378.88,1.50953,1.17506,0.00943,0.791,0.62087,0.70624,0.38278,1.59655,0.95358,0.00886,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
