epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.935,1.97538,2.91363,0.01396,0.34654,0.17216,0.08686,0.03099,2.35184,5.34561,0.01512,0.00332882,0.00332882,0.0700406
2,359.475,1.9476,2.43253,0.01362,0.44874,0.21527,0.19879,0.07931,2.22248,3.16899,0.01398,0.00665556,0.00665556,0.040034
3,534.964,1.91504,2.31915,0.01345,0.39197,0.25346,0.2454,0.10363,2.207,2.60189,0.01361,0.0099757,0.0099757,0.0100208
4,710.797,1.87324,2.15601,0.01306,0.4839,0.41863,0.39788,0.16075,2.16563,1.81124,0.01304,0.0099703,0.0099703,0.0099703
5,885.53,1.84579,2.0353,0.0126,0.54266,0.45134,0.44788,0.19132,2.13518,1.70516,0.01312,0.0099604,0.0099604,0.0099604
6,1060.24,1.79715,1.92652,0.01241,0.53285,0.38079,0.38719,0.17741,2.03361,1.86397,0.01219,0.0099505,0.0099505,0.0099505
7,1234.42,1.8081,1.90822,0.01252,0.57317,0.46275,0.48436,0.21452,2.032,1.54098,0.01226,0.0099406,0.0099406,0.0099406
8,1410.09,1.79134,1.81144,0.01225,0.62338,0.49627,0.52663,0.24435,1.99444,1.42403,0.01186,0.0099307,0.0099307,0.0099307
9,1584.32,1.78154,1.76973,0.01228,0.59984,0.52808,0.54292,0.25161,1.99308,1.37979,0.01186,0.0099208,0.0099208,0.0099208
10,1759.78,1.78453,1.70391,0.01223,0.62689,0.53493,0.55427,0.26486,1.96854,1.30598,0.01164,0.0099109,0.0099109,0.0099109
11,1935.08,1.76848,1.66801,0.01208,0.66898,0.5256,0.56401,0.27041,1.94966,1.27047,0.01156,0.009901,0.009901,0.009901
12,2111.25,1.77534,1.68109,0.01189,0.6302,0.54739,0.57234,0.2777,1.93624,1.25034,0.01143,0.0098911,0.0098911,0.0098911
13,2285.97,1.74593,1.62873,0.012,0.65707,0.56675,0.59302,0.29135,1.91422,1.21683,0.01123,0.0098812,0.0098812,0.0098812
14,2460.79,1.72596,1.57699,0.01185,0.66471,0.56771,0.60476,0.29987,1.89265,1.18204,0.01116,0.0098713,0.0098713,0.0098713
