epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,184.405,1.96727,5.24096,0.0105,0.60376,0.32078,0.36468,0.17811,1.75943,1.93554,0.01008,0.00997297,0.00332432,0.00997297,0.00332432,0.00997297,0.00332432,0.00997297,0.00332432
2,363.175,1.84871,1.95282,0.00959,0.617,0.40933,0.43542,0.21392,1.81682,1.73856,0.01048,0.0199532,0.00665107,0.0199532,0.00665107,0.0199532,0.00665107,0.0199532,0.00665107
3,541.141,1.86178,1.64799,0.00962,0.51933,0.41963,0.43025,0.20279,1.94855,1.75092,0.0115,0.0299136,0.00997121,0.0299136,0.00997121,0.0299136,0.00997121,0.0299136,0.00997121
4,719.304,1.88626,1.60996,0.00967,0.64064,0.43517,0.46815,0.20902,1.94539,1.80275,0.01124,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,897.536,1.83244,1.51124,0.00931,0.64234,0.49617,0.53266,0.2522,1.90949,1.51425,0.01102,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,1075.95,1.79288,1.44084,0.00912,0.59583,0.34144,0.36134,0.18786,1.96323,2.68535,0.01206,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,1253.76,1.76762,1.40338,0.00916,0.72283,0.57143,0.61116,0.32229,1.70831,1.20881,0.00982,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,1431.74,1.75325,1.35934,0.00891,0.67182,0.47269,0.51515,0.25885,1.91598,1.69764,0.01138,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,1609.31,1.75263,1.36476,0.00884,0.67291,0.48347,0.52543,0.2664,1.89449,1.61071,0.0111,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,1787.56,1.73841,1.34675,0.00875,0.67159,0.53084,0.57287,0.29864,1.75879,1.48964,0.01019,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,1965.68,1.72112,1.30941,0.00877,0.70981,0.5209,0.57774,0.30752,1.69759,1.48603,0.00988,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,2143.49,1.72554,1.33337,0.00854,0.72349,0.57699,0.62542,0.341,1.65561,1.25596,0.0095,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,2321.27,1.71402,1.31441,0.00859,0.72757,0.55364,0.61056,0.32926,1.69062,1.36012,0.00966,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,2499.83,1.68155,1.26317,0.0086,0.73171,0.61458,0.66205,0.36856,1.59627,1.06553,0.00893,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,2676.98,1.70455,1.28467,0.00856,0.7398,0.63709,0.67423,0.37034,1.60351,1.01672,0.00902,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,2854.78,1.69261,1.26464,0.00849,0.73296,0.61786,0.66476,0.35772,1.64706,1.06942,0.00919,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,3032.36,1.72195,1.29517,0.00855,0.73524,0.62711,0.67296,0.37976,1.56018,1.02446,0.00877,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,3210.84,1.68756,1.25595,0.00849,0.7615,0.64122,0.69091,0.38858,1.55814,0.9959,0.00871,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,3387.93,1.69661,1.25397,0.00852,0.78313,0.64134,0.69818,0.39825,1.53995,0.98675,0.00851,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,3566.29,1.69253,1.24211,0.00856,0.779,0.63892,0.70151,0.40618,1.52607,0.94548,0.00849,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,3743.86,1.69419,1.23647,0.00841,0.78544,0.65076,0.71033,0.41004,1.50977,0.94245,0.00833,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,3921.16,1.65914,1.22545,0.00844,0.76736,0.65838,0.70545,0.41389,1.49974,0.94304,0.00826,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,4099.3,1.69036,1.25105,0.0084,0.77351,0.65772,0.71089,0.41026,1.51405,0.94885,0.00834,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,4277.5,1.67208,1.22585,0.00849,0.78207,0.65507,0.71484,0.41828,1.49982,0.93005,0.0082,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,4455.25,1.65202,1.2102,0.00817,0.77716,0.65716,0.72075,0.42202,1.48178,0.92919,0.00811,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,4633.21,1.65847,1.26003,0.00842,0.80563,0.65345,0.72293,0.42604,1.47691,0.91134,0.00809,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,4811.42,1.67584,1.23793,0.00843,0.79685,0.65159,0.72261,0.42404,1.46779,0.92433,0.00806,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,4989.31,1.68484,1.2342,0.00825,0.78154,0.67003,0.72904,0.4317,1.4601,0.91994,0.00798,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,5166.4,1.64362,1.19994,0.00837,0.79992,0.65941,0.72885,0.43057,1.46186,0.90774,0.00798,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,5344.44,1.6603,1.20535,0.00823,0.79168,0.66935,0.73068,0.43444,1.45794,0.90935,0.00794,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,5522.07,1.66275,1.20795,0.00825,0.78851,0.66993,0.72875,0.43437,1.45004,0.91245,0.00793,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,5699.84,1.66006,1.209,0.00833,0.80174,0.66695,0.73156,0.43583,1.4416,0.90626,0.00786,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,5877.74,1.65211,1.20679,0.00822,0.80465,0.66164,0.73149,0.43546,1.43953,0.90906,0.00784,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,6055.58,1.64616,1.19004,0.0082,0.81378,0.65738,0.73327,0.43598,1.44205,0.9034,0.00785,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,6233.49,1.65539,1.19447,0.00819,0.81093,0.65986,0.73425,0.43993,1.4359,0.90349,0.0078,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,6411.39,1.63894,1.17099,0.00819,0.82495,0.65573,0.73675,0.44203,1.43457,0.89686,0.0078,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,6589.36,1.66221,1.19045,0.00819,0.81505,0.66365,0.73995,0.44313,1.43243,0.89599,0.00777,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,6767.2,1.65421,1.19387,0.00825,0.81916,0.66271,0.74108,0.44433,1.43072,0.89264,0.00776,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,6944.93,1.65664,1.1877,0.00809,0.80547,0.66473,0.73929,0.4443,1.42721,0.89643,0.00773,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,7123.09,1.63735,1.17589,0.00815,0.79407,0.67367,0.7406,0.44531,1.42643,0.89736,0.00773,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,7300.65,1.64844,1.19023,0.00835,0.81002,0.66333,0.74086,0.4465,1.42551,0.89612,0.00773,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,7478.51,1.66222,1.18731,0.00806,0.80971,0.6665,0.7411,0.44704,1.42452,0.89834,0.00773,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
