epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,230.15,2.04074,3.70025,0.0141,0.57368,0.46649,0.48144,0.19493,1.98178,1.46766,0.01172,0.00994595,0.00331532,0.00994595,0.00331532,0.00994595,0.00331532,0.00994595,0.00331532
2,454.303,1.74592,1.70803,0.01157,0.57477,0.47975,0.47039,0.21379,1.79458,1.44321,0.01037,0.0199262,0.00664207,0.0199262,0.00664207,0.0199262,0.00664207,0.0199262,0.00664207
3,675.966,1.70425,1.59504,0.01119,0.54576,0.44633,0.46314,0.21859,1.84445,1.56666,0.01081,0.0298867,0.00996222,0.0298867,0.00996222,0.0298867,0.00996222,0.0298867,0.00996222
4,894.846,1.72206,1.57188,0.01111,0.59194,0.45803,0.47332,0.20878,1.8729,1.42545,0.01082,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,1110.03,1.66394,1.48462,0.01085,0.65695,0.45944,0.48428,0.23605,1.87859,1.80133,0.01118,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,1325.52,1.65814,1.3934,0.01047,0.63878,0.38774,0.44,0.20252,1.90047,2.01401,0.01138,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,1540.46,1.63027,1.38412,0.01052,0.64178,0.5183,0.56984,0.26939,1.82079,1.28917,0.01051,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,1754.96,1.59653,1.32999,0.01031,0.70616,0.58013,0.62819,0.32006,1.73423,1.12311,0.00991,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,1968.79,1.59724,1.31019,0.01022,0.73211,0.5731,0.63062,0.30796,1.78968,1.1184,0.01034,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,2182.58,1.58689,1.27173,0.01012,0.74454,0.54512,0.60398,0.30656,1.80257,1.43328,0.01054,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,2396.2,1.57143,1.2606,0.01001,0.73321,0.59974,0.65605,0.33906,1.70357,1.03569,0.00972,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,2610.49,1.55529,1.2494,0.00988,0.74467,0.5775,0.6371,0.33046,1.70287,1.20556,0.00976,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,2824.25,1.55158,1.24373,0.00998,0.73035,0.62181,0.66268,0.3428,1.66224,1.0431,0.00938,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
