epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,873.265,1.87964,3.6343,1.34205,0.54664,0.45075,0.45059,0.23062,1.83224,1.6014,1.34836,0.00999831,0.00333277,0.00999831,0.00333277,0.00999831,0.00333277,0.00999831,0.00333277
2,1563.24,1.93167,1.93353,1.38461,0.57664,0.51454,0.5161,0.26124,1.78667,1.41647,1.35523,0.0198993,0.00663311,0.0198993,0.00663311,0.0198993,0.00663311,0.0198993,0.00663311
3,2190.53,1.94487,1.84663,1.41106,0.58258,0.54038,0.5512,0.29363,1.73802,1.32164,1.34573,0.0297013,0.00990044,0.0297013,0.00990044,0.0297013,0.00990044,0.0297013,0.00990044
4,2794.79,1.91165,1.72917,1.4074,0.58613,0.58623,0.58631,0.31839,1.69379,1.19314,1.32892,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,3398.12,1.8415,1.58921,1.36517,0.64955,0.59447,0.61912,0.34846,1.63546,1.13352,1.29405,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,4000.73,1.79883,1.51578,1.33987,0.67561,0.60554,0.63749,0.36391,1.60454,1.10723,1.27471,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,4601.27,1.76791,1.46179,1.32823,0.69934,0.60022,0.64211,0.37034,1.57959,1.08585,1.26453,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,5202.13,1.74394,1.43433,1.30591,0.72694,0.59638,0.65159,0.37984,1.56827,1.06828,1.25624,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,5805.74,1.73561,1.40685,1.30139,0.73496,0.60207,0.6568,0.38466,1.55982,1.05525,1.25059,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,6409.2,1.72259,1.38291,1.29546,0.73055,0.60495,0.66007,0.38923,1.55031,1.04789,1.24514,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,7014.32,1.71401,1.3718,1.291,0.74642,0.60036,0.66028,0.39052,1.54318,1.04319,1.24179,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
