epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,275.932,1.89011,3.33295,1.71946,0.54305,0.46738,0.44652,0.19101,2.02392,1.89397,1.59176,0.00997297,0.00332432,0.00997297,0.00332432,0.00997297,0.00332432,0.00997297,0.00332432
2,542.057,1.75662,1.73947,1.58395,0.382,0.30185,0.25079,0.09193,2.37149,2.55252,1.81715,0.0199532,0.00665107,0.0199532,0.00665107,0.0199532,0.00665107,0.0199532,0.00665107
3,803.754,1.77854,1.8154,1.59897,0.35691,0.29695,0.24699,0.09806,2.24419,2.38412,1.8377,0.0299136,0.00997121,0.0299136,0.00997121,0.0299136,0.00997121,0.0299136,0.00997121
4,1063.07,1.79122,1.79777,1.61842,0.5188,0.34444,0.35134,0.15824,2.0721,2.11888,1.68909,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,1321.7,1.71836,1.63333,1.59266,0.6191,0.51566,0.53687,0.26178,1.8747,1.38385,1.63107,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,1577.87,1.6792,1.51062,1.5591,0.62152,0.54071,0.56496,0.27946,1.85778,1.27995,1.55953,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,1834.66,1.64779,1.4525,1.54424,0.65569,0.54519,0.58466,0.29088,1.84988,1.26657,1.55208,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,2090.61,1.61157,1.38897,1.52894,0.68288,0.56486,0.60311,0.30338,1.81396,1.17639,1.54279,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,2346.06,1.60449,1.37427,1.51795,0.69897,0.58955,0.627,0.31489,1.82329,1.14849,1.53853,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,2601.87,1.57881,1.31634,1.49826,0.74071,0.56842,0.62408,0.32636,1.81675,1.21165,1.54292,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,2858.17,1.56695,1.30246,1.49459,0.73997,0.56001,0.6117,0.32067,1.84896,1.36113,1.57169,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,3113.59,1.55414,1.28114,1.48897,0.73703,0.61049,0.65981,0.35114,1.737,1.05398,1.47849,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,3369.39,1.5466,1.28231,1.48547,0.72705,0.62101,0.66245,0.3415,1.75906,1.02642,1.49885,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,3625.22,1.5286,1.25868,1.47086,0.76419,0.62868,0.6862,0.37368,1.67235,0.98501,1.46144,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,3880.2,1.54712,1.25155,1.4676,0.74402,0.63242,0.68736,0.37323,1.69507,1.00633,1.44278,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,4135.98,1.52067,1.22413,1.45879,0.80796,0.61097,0.69606,0.37985,1.66333,0.99384,1.45229,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,4392.01,1.52123,1.21911,1.4668,0.78833,0.62773,0.70107,0.37747,1.68649,0.98013,1.46848,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,4648.07,1.51477,1.21533,1.45328,0.78719,0.64158,0.71036,0.39622,1.61579,0.95604,1.4213,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,4904,1.52081,1.20712,1.45752,0.80422,0.66348,0.73234,0.40356,1.63718,0.92806,1.41549,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,5159.49,1.50621,1.21148,1.44916,0.79178,0.65815,0.72877,0.40854,1.60302,0.92438,1.42569,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,5418.03,1.50626,1.19939,1.4637,0.80584,0.66812,0.73674,0.41464,1.59862,0.89734,1.4147,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,5673.96,1.4819,1.19735,1.45702,0.81853,0.67003,0.74706,0.42544,1.57551,0.89694,1.40599,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,5930.3,1.49519,1.18311,1.43868,0.83007,0.67485,0.75184,0.42431,1.57938,0.89412,1.38408,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,6185.69,1.49543,1.17238,1.43152,0.82337,0.68227,0.75818,0.43287,1.56709,0.87924,1.39041,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,6442.15,1.48192,1.17027,1.43861,0.81846,0.69256,0.76354,0.44158,1.55409,0.86538,1.38346,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,6698.31,1.46858,1.15673,1.44003,0.82739,0.69105,0.76763,0.44152,1.53938,0.85827,1.36798,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,6954.19,1.47567,1.14659,1.42833,0.82471,0.68605,0.76338,0.44387,1.52461,0.86369,1.37075,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,7210.77,1.47241,1.15276,1.43478,0.83022,0.69642,0.77353,0.45141,1.51187,0.85792,1.36721,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,7467.26,1.4649,1.14062,1.42842,0.83312,0.69973,0.77827,0.45591,1.50231,0.8504,1.36799,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,7723.27,1.45738,1.13824,1.4261,0.83383,0.6876,0.77116,0.45163,1.50733,0.85281,1.36089,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,7979.44,1.45695,1.13865,1.43003,0.82877,0.69551,0.77277,0.45471,1.50723,0.85715,1.35555,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,8235.37,1.46474,1.13258,1.43011,0.83007,0.71244,0.78282,0.45911,1.49979,0.83799,1.35858,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,8491.52,1.46691,1.1445,1.4276,0.83321,0.71366,0.78445,0.45977,1.50149,0.84073,1.35834,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,8747.96,1.47042,1.12367,1.41219,0.84222,0.70891,0.78702,0.46442,1.48533,0.83158,1.34653,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,9003.66,1.44828,1.11075,1.40579,0.83353,0.71543,0.79048,0.46813,1.47939,0.83142,1.34212,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,9259.21,1.43791,1.08844,1.4214,0.83587,0.71729,0.79324,0.46977,1.47459,0.82855,1.34545,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,9515.5,1.44639,1.10508,1.40913,0.84349,0.7085,0.7922,0.4713,1.4694,0.82537,1.34166,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,9771.8,1.44575,1.10565,1.41108,0.85093,0.71141,0.79749,0.47577,1.46284,0.81817,1.3352,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,10028.2,1.43932,1.1019,1.41437,0.85405,0.71134,0.80105,0.47773,1.4581,0.81396,1.33237,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,10284.1,1.42938,1.08292,1.4073,0.852,0.71879,0.80282,0.47852,1.45712,0.80584,1.33047,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,10539.7,1.44024,1.09048,1.40951,0.85545,0.71385,0.80275,0.47933,1.45388,0.80892,1.32969,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,10796.3,1.44588,1.09859,1.42032,0.85136,0.71854,0.80399,0.48038,1.45116,0.8044,1.32988,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,11052.4,1.42998,1.07459,1.41057,0.85189,0.71788,0.80455,0.4816,1.4485,0.8036,1.32917,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,11308.7,1.45311,1.10554,1.41408,0.83592,0.71899,0.79537,0.47717,1.44458,0.82449,1.3274,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,11564.3,1.43507,1.09598,1.40618,0.81923,0.72247,0.78574,0.47144,1.44055,0.83921,1.32569,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,11820.7,1.43486,1.08406,1.41317,0.80871,0.726,0.77828,0.46745,1.43921,0.84969,1.32486,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,12076.3,1.4305,1.08894,1.40288,0.81067,0.72255,0.77646,0.46647,1.43835,0.85276,1.32463,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,12332.2,1.43237,1.07423,1.40823,0.81421,0.71901,0.77706,0.4674,1.4369,0.8516,1.32343,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,12587.2,1.42231,1.06607,1.40044,0.80472,0.72334,0.77672,0.46741,1.43742,0.85418,1.32404,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,12843.4,1.42687,1.07895,1.40136,0.80944,0.72163,0.77642,0.46665,1.43764,0.85673,1.32401,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,13098.7,1.42617,1.0694,1.40105,0.80173,0.72514,0.77589,0.46633,1.43846,0.85542,1.32332,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,13354.2,1.4212,1.07097,1.38938,0.80876,0.71902,0.77872,0.46762,1.43696,0.85453,1.32248,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,13609.4,1.41407,1.06375,1.39407,0.81249,0.71574,0.78019,0.46773,1.43559,0.85616,1.3211,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,13864.7,1.4085,1.06868,1.39266,0.81593,0.71426,0.78259,0.46721,1.43515,0.85544,1.32106,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,14120.5,1.4306,1.06354,1.38162,0.81653,0.71688,0.78353,0.46476,1.43495,0.85878,1.32058,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,14376,1.40112,1.04331,1.38783,0.81032,0.71992,0.78165,0.4618,1.43556,0.8664,1.31978,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,14631.2,1.42736,1.06947,1.37956,0.78261,0.72855,0.77372,0.45473,1.43611,0.88504,1.32037,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
